id,bbl,bin,street_number,street_name,borough,zipcode,on_covered_buildings_list,dof_benchmarking_status,site_eui,weather_normalized_site_eui,source_eui,weather_normalized_source_eui,indoor_water_intensity,reported_water_method,energy_star_score,total_ghg_emissions,direct_ghg_emissions,indirect_ghg_emissions,property_floor_area,primary_property_type
9735,2024420060,2124389,675,morris avenue,bronx,10451,yes,in compliance,39.7,37.9,75.8,74,93.28,abs,0,484.3,232,252.2,186605,multifamily housing
9736,2025110013,2098344,900,ogden avenue,bronx,10452,yes,in compliance,85.6,82.4,128,124.8,0,none,0,631.8,444.1,187.6,124086,multifamily housing
9737,2025190001,2114129,1314,nelson avenue,bronx,10452,yes,in compliance,88.5,85.9,138,135.5,98.29,abs,0,609,405,204,113973,multifamily housing
9738,2025270001,2113108,1001,university avenue,bronx,10452,yes,in compliance,82.1,79.2,126.4,123.3,96.22,abs,0,492,333.3,158.7,99685,multifamily housing
9739,2025310005,2114107,1314,merriam avenue,bronx,10452,yes,in compliance,114.4,110.6,165,160.8,0,none,0,664.8,488.8,176,98955,multifamily housing
9740,2026420070,2113113,600,concord avenue,bronx,10455,yes,in compliance,80,78.2,124.7,122.9,105.12,abs,0,433.2,288.6,144.7,89684,multifamily housing
9741,2026900081,2113131,881,east 162 street,bronx,10459,yes,in compliance,87.3,84.5,136.6,133.8,98.9,abs,0,445.8,295.3,150.5,84460,multifamily housing
9742,2026900173,2109536,861,east 163 street,bronx,10459,yes,in compliance,99.8,96.5,150.3,147,0,none,0,441.4,307.5,133.9,74160,multifamily housing
9743,2027060001,2114482,1118,intervale avenue,bronx,10459,yes,in compliance,123,118.9,182.8,178.7,13.55,abs,0,464.6,329,135.5,63650,multifamily housing
9744,2027060046,2114126,1150,intervale avenue,bronx,10459,yes,in compliance,100.9,98,151.1,148.3,9.93,abs,0,455.4,319.5,135.8,75849,multifamily housing
9745,2027427501,2113353;2113354,951,hoe avenue,bronx,10459,yes,in compliance,75.8,74,117.6,115.9,0,none,0,1678.2,1123.8,554.4,367288,multifamily housing
9746,2028140069,2114883,270,east burnside avenue,bronx,10457,yes,in compliance,72,70.4,113.8,112.3,0,none,0,536.9,350.6,186.3,122827,multifamily housing
9747,2028390053,2114223,128,clarke place east,bronx,10452,yes,in compliance,91.7,89,145.1,142.6,96.31,abs,0,322.8,210.6,112.2,57979,multifamily housing
9748,2028690171,2114452,31,west tremont avenue,bronx,10453,yes,in compliance,75.6,72.5,121,117.3,112.52,abs,0,413.6,265.1,148.5,89745,multifamily housing
9749,2028720320,2114112,1491,macombs road,bronx,10452,yes,in compliance,96.6,93.7,139.4,136.6,113.96,abs,0,604.2,443.5,160.7,106520,multifamily housing
9750,2029250042,2009616,550,east 170 street,bronx,10456,yes,in compliance,74,71.8,121.1,118.9,69.57,abs,0,482.1,299.8,182.3,105983,multifamily housing
9751,2029650051,2010271,1490,boston road,bronx,10460,yes,in compliance,58.3,56.4,112.6,110.9,100.16,abs,0,370.9,173.2,197.7,96882,multifamily housing
9752,2030050007,2113158,1904,vyse avenue,bronx,10460,yes,in compliance,86.7,83.9,137.1,134.2,0,none,0,534,348.5,185.5,101479,multifamily housing
9753,2030050065,2010893;2808038,1932,bryant avenue,bronx,10460,yes,in compliance,70.8,68.3,99.3,96.7,0,none,0,458.6,348.5,110.1,111375,multifamily housing
